oid,ra,dec,distance,distance_low,distance_up,plx_flag,R_r,A_r,A_r_low,A_r_up,peak_time,fwhm,amplitude,num_points,spec_class,energy,energy_low,energy_up
257202300015543,90.832039,-27.916099,456.3,400.14,524.76,0.0,2.617,0.0523,0.0523,0.0523,468.4004,,2.523,9,M4,,,
257206300001713,90.6576,-25.271248,1350.29,1068.43,2124.36,,2.617,0.0,0.0,0.0,468.3736,0.07,2.107,60,M4,,,
257207200014674,88.830343,-25.034174,446.51,423.53,471.69,0.0,2.617,0.0785,0.0785,0.0785,468.3722,0.047,0.606,8,M3,5.85e+32,5.27e+32,6.53e+32
257207200014907,88.151282,-25.042242,397.8,391.46,404.59,0.0,2.617,0.0262,0.0262,0.0262,468.3838,0.052,0.269,17,M1,8.77e+32,8.50e+32,9.08e+32
257208300005695,86.610769,-25.468478,491.98,389.84,720.25,1.0,2.617,0.0785,0.0785,0.0785,468.3494,0.024,3.738,17,M6,,,
257211300014427,88.6412,-23.952031,77.47,75.77,79.06,,2.617,0.0,0.0,0.0,472.3524,0.04,0.259,21,M4,,,
259201200024830,106.983946,-26.914005,4184.18,2985.37,6301.44,,2.617,0.2617,0.2617,0.2879,461.4285,,0.261,10,M3,,,
259205200036217,107.623857,-24.406292,775.06,738.65,813.25,0.0,2.617,0.1459,0.1308,0.1677,461.4271,0.085,0.955,23,M2,,,
259205400044242,107.856336,-25.824475,997.26,871.1,1185.42,0.0,2.617,0.2355,0.2355,0.2617,461.4055,0.126,1.249,19,M3,4.25e+33,3.24e+33,6.00e+33
259206200013635,105.013298,-24.71949,50.37,50.31,50.43,0.0,2.617,0.0,0.0,0.0,455.4005,0.09,0.249,26,M4,,,
259207300021409,103.221755,-25.881418,397.57,391.08,405.71,0.0,2.617,0.0523,0.0523,0.0523,461.4032,0.05,0.238,8,M2,1.16e+33,1.12e+33,1.21e+33
259212400010952,102.040992,-23.609031,460.94,449.53,470.59,0.0,2.617,0.0785,0.0785,0.0785,455.4278,0.23,0.727,62,M1,,,
260209400035941,115.585232,-23.90959,260.09,244.58,277.65,0.0,2.617,0.0262,0.0262,0.0262,493.2962,0.105,2.846,53,M4,,,
261216200015936,116.233398,-20.957904,252.33,244.08,261.61,0.0,2.617,0.0,0.0,0.0,487.3825,0.108,0.728,16,M4,,,
279202200075735,250.619238,-26.722507,5538.96,3190.12,7980.4,1.0,2.617,1.0991,1.0991,1.0991,635.3133,,0.628,27,M1,,,
279205200008963,252.956705,-24.481154,140.28,139.24,141.38,0.0,2.617,0.0,0.0,0.0,635.3278,0.199,0.27,44,M5,,,
279207400119327,250.358252,-25.61021,399.75,357.71,441.98,0.0,2.617,0.5234,0.5234,0.5234,635.3451,0.175,0.732,36,M4,,,
280207400114986,257.239518,-25.832117,5838.27,3812.86,7615.1,1.0,2.617,1.2562,0.8113,1.2562,303.2586,0.306,0.704,37,M1,,,
280214400089687,259.661485,-21.663269,702.36,514.27,995.5,1.0,2.617,1.35,1.2417,1.4917,303.2694,0.043,2.39,30,M4,,,
280216100051732,255.198713,-20.571624,9119.44,6206.57,11937.92,1.0,2.617,0.7589,0.7589,0.7589,303.228,0.208,1.161,40,M1,,,
282206200002160,273.250359,-24.378001,507.85,498.96,518.74,0.0,2.617,0.8031,0.7608,0.8113,308.2853,0.122,0.245,15,M0,,,
282207100015107,271.814071,-24.587109,4505.04,2414.95,8048.46,1.0,2.617,5.8882,3.2355,5.9144,330.2426,0.142,2.047,18,M4,,,
282207200015298,271.130366,-24.739673,643.36,605.52,683.47,0.0,2.617,0.4972,0.4972,0.4972,330.273,,0.241,5,M1,,,
282211100071146,271.654744,-22.985544,158.73,157.4,160.16,0.0,2.617,0.0,0.0,0.0,330.2644,,0.291,31,M2,3.37e+32,3.31e+32,3.43e+32
283202100127725,281.704089,-26.834398,444.32,405.53,485.03,0.0,2.617,0.521,0.4972,0.5496,311.3105,0.154,0.914,29,M4,,,
