,name_model,n_bin,borders,oid,flare_start,threshold
0,LogReg,1,"(1, 0.99)",518216200032659,58522.24307,0.9949067234992981
1,LogReg,1,"(1, 0.99)",688201300057575,58449.11003,0.9936442375183105
2,LogReg,1,"(1, 0.99)",554211300004223,58778.34182,0.9939138293266296
3,LogReg,1,"(1, 0.99)",460216100028794,58854.19618,0.9901774525642395
4,LogReg,1,"(1, 0.99)",280215300105734,58303.2277,0.9966985583305359
5,LogReg,1,"(1, 0.99)",542205200002714,58727.20093,0.9954848289489746
6,LogReg,1,"(1, 0.99)",726216400021529,58324.3218,0.9932723641395569
7,LogReg,1,"(1, 0.99)",462207100027592,58482.28899,0.9998563528060913
8,LogReg,1,"(1, 0.99)",566208200018428,58854.27493,0.9901042580604553
9,LogReg,1,"(1, 0.99)",333205200160268,58697.22359,0.9976784586906433
10,LogReg,2,"(0.99, 0.98)",383207300086740,58697.24427,0.9838129281997681
11,LogReg,2,"(0.99, 0.98)",689208100059230,58449.06839,0.9879602193832397
12,LogReg,2,"(0.99, 0.98)",386207100080878,58716.20483,0.9833953380584717
13,LogReg,2,"(0.99, 0.98)",688207400099075,58449.06834,0.9823428988456726
14,LogReg,2,"(0.99, 0.98)",383212100018134,58692.24596,0.9811135530471802
15,LogReg,2,"(0.99, 0.98)",683211200016308,58322.29652,0.9849879145622253
16,LogReg,2,"(0.99, 0.98)",566209100001922,58827.34337,0.9856495261192322
17,LogReg,2,"(0.99, 0.98)",488206200149676,58697.24521,0.9854611754417419
18,LogReg,2,"(0.99, 0.98)",685209400047051,58346.28475,0.9847360253334045
19,LogReg,2,"(0.99, 0.98)",513216400013455,58483.19554,0.9843259453773499
20,LogReg,3,"(0.98, 0.97)",807208400039391,58474.22606,0.9738801121711731
21,LogReg,3,"(0.98, 0.97)",279213400147296,58672.23992,0.9750664830207825
22,LogReg,3,"(0.98, 0.97)",331207200101071,58304.24469,0.9784500002861023
23,LogReg,3,"(0.98, 0.97)",331202300156481,58306.24294,0.9719197154045105
24,LogReg,3,"(0.98, 0.97)",516205100023348,58802.45439,0.9795094132423401
25,LogReg,3,"(0.98, 0.97)",592204100096264,58343.24308,0.976348876953125
26,LogReg,3,"(0.98, 0.97)",752212200021055,58507.31746,0.975226879119873
27,LogReg,3,"(0.98, 0.97)",280212100149331,58303.22767,0.9793139100074768
28,LogReg,3,"(0.98, 0.97)",515210100014477,58850.30189,0.9799990057945251
29,LogReg,3,"(0.98, 0.97)",806205300045208,58473.27066,0.9747526049613953
30,LogReg,4,"(0.97, 0.96)",504204400009338,58783.25908,0.9676120281219482
31,LogReg,4,"(0.97, 0.96)",768212200041589,58451.10502,0.9666122198104858
32,LogReg,4,"(0.97, 0.96)",462213100025829,58482.23968,0.9632245302200317
33,LogReg,4,"(0.97, 0.96)",385215100030686,58291.36172,0.9631943702697754
34,LogReg,4,"(0.97, 0.96)",557212100002648,58787.46655,0.9629349708557129
35,LogReg,4,"(0.97, 0.96)",538209100116092,58661.24074,0.964665412902832
36,LogReg,4,"(0.97, 0.96)",260208200070142,58481.33227,0.963134765625
37,LogReg,4,"(0.97, 0.96)",513204100054458,58483.19635,0.969971776008606
38,LogReg,4,"(0.97, 0.96)",728213200052443,58741.2724,0.9683937430381775
39,LogReg,4,"(0.97, 0.96)",594207300026773,59030.40572,0.9679540395736694
40,LogReg,5,"(0.96, 0.95)",280202100005973,58658.26388,0.9549786448478699
41,LogReg,5,"(0.96, 0.95)",832214400050082,58775.2162,0.9594635367393494
42,LogReg,5,"(0.96, 0.95)",555210400014096,58783.26178,0.9532639980316162
43,LogReg,5,"(0.96, 0.95)",488206400175660,58692.23878,0.9550096392631531
44,LogReg,5,"(0.96, 0.95)",686208400072531,58345.19383,0.9566767811775208
45,LogReg,5,"(0.96, 0.95)",686201400002834,58345.19509,0.9517063498497009
46,LogReg,5,"(0.96, 0.95)",749214400008130,58505.2612,0.9572367072105408
47,LogReg,5,"(0.96, 0.95)",771213400049710,58740.28599,0.9558000564575195
48,LogReg,5,"(0.96, 0.95)",538203400062393,58658.26119,0.9544086456298828
49,LogReg,5,"(0.96, 0.95)",767215400036245,58448.09694,0.9544112682342529
50,LogReg,6,"(0.95, 0.94)",777215200039800,58833.15224,0.942302405834198
51,LogReg,6,"(0.95, 0.94)",767207400069448,58739.26516,0.9465043544769287
52,LogReg,6,"(0.95, 0.94)",450208200001521,58781.34277,0.940302312374115
53,LogReg,6,"(0.95, 0.94)",280215300129577,58658.2638,0.9494433999061584
54,LogReg,6,"(0.95, 0.94)",829203400017285,58778.21138,0.9466286897659302
55,LogReg,6,"(0.95, 0.94)",310206100052389,58474.35146,0.9433826208114624
56,LogReg,6,"(0.95, 0.94)",706203100020801,58853.27744,0.947684109210968
57,LogReg,6,"(0.95, 0.94)",806209100047986,58473.26889,0.9417343735694885
58,LogReg,6,"(0.95, 0.94)",541215100129175,58722.173,0.9478432536125183
59,LogReg,6,"(0.95, 0.94)",463206200043640,58482.23262,0.9492669105529785
60,LogReg,7,"(0.94, 0.9299999999999999)",541212100096597,58718.20084,0.9357125759124756
61,LogReg,7,"(0.94, 0.9299999999999999)",542201400049273,58727.20105,0.9373431205749512
62,LogReg,7,"(0.94, 0.9299999999999999)",334207400080629,58722.17397,0.9386901259422302
63,LogReg,7,"(0.94, 0.9299999999999999)",360206400046645,58491.26661,0.9379452466964722
64,LogReg,7,"(0.94, 0.9299999999999999)",385212200185694,58292.36217,0.9306485056877136
65,LogReg,7,"(0.94, 0.9299999999999999)",490204100067421,58727.20156,0.9391769170761108
66,LogReg,7,"(0.94, 0.9299999999999999)",769206200086559,59008.3982,0.9308115839958191
67,LogReg,7,"(0.94, 0.9299999999999999)",383216200081630,58638.39154,0.9382426738739014
68,LogReg,7,"(0.94, 0.9299999999999999)",684208300022643,58299.23531,0.9341336488723755
69,LogReg,7,"(0.94, 0.9299999999999999)",334214100171237,58319.28855,0.9352336525917053
70,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",541214100054008,58726.18258,0.9265625476837158
71,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",538209300106085,58333.23845,0.9255370497703552
72,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",486213100062886,58669.22216,0.9273571968078613
73,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",488209100135959,58700.20166,0.925046443939209
74,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",731202400034106,58455.19748,0.9231352210044861
75,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",464201400007209,58850.28029,0.9291371703147888
76,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",486209300016146,58660.25661,0.9270495176315308
77,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",541202400091082,58718.20121,0.9239973425865173
78,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",460206400029784,58854.19519,0.9208527207374573
79,LogReg,8,"(0.9299999999999999, 0.9199999999999999)",537201300020994,58660.25735,0.9279902577400208
80,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",436206300156315,58686.21764,0.9196909666061401
81,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",335203400065555,58717.18578,0.9166154265403748
82,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",385208200002949,58291.36188,0.9143423438072205
83,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",484204100026486,59017.40934,0.9111542105674744
84,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",283203400160766,58727.20239,0.9157410860061646
85,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",765205400026905,58327.21704,0.9186195731163025
86,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",385211400054676,58726.17348,0.9166548252105713
87,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",283206100157124,58719.17522,0.9159871935844421
88,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",799214400010187,58441.07716,0.9106766581535339
89,LogReg,9,"(0.9199999999999999, 0.9099999999999999)",488202300180729,58700.20171,0.9183130860328674
90,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",334215100168496,58319.28851,0.9098597764968872
91,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",280207400020249,58663.23782,0.9040058255195618
92,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",331210400194345,58305.23718,0.9048066139221191
93,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",332203300132089,58697.24181,0.9087114334106445
94,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",537214400050469,58670.21678,0.908769428730011
95,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",546210400030018,58799.27443,0.9065622091293335
96,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",279205200167841,58672.2399,0.9010282158851624
97,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",803210300065856,58468.09272,0.9037048816680908
98,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",438201100020298,58726.18115,0.9032387137413025
99,LogReg,10,"(0.9099999999999999, 0.8999999999999999)",383205400094747,58691.24101,0.9059589505195618
