,name_model,n_bin,borders,oid,flare_start,threshold
0,RF,3,"(0.98, 0.97)",688205200009755,58449.06868,0.9730065840056068
1,RF,3,"(0.98, 0.97)",774203300041018,58777.33911,0.9708916471334539
2,RF,3,"(0.98, 0.97)",615210400004996,58797.33712,0.9729024767433438
3,RF,3,"(0.98, 0.97)",679113200008528,58254.31793,0.9740199700709015
4,RF,3,"(0.98, 0.97)",769210300034401,58466.0911,0.9721987228722633
5,RF,3,"(0.98, 0.97)",805211200022952,58476.11342,0.9705984611198333
6,RF,3,"(0.98, 0.97)",636205200001669,59047.33323,0.9707814383216877
7,RF,3,"(0.98, 0.97)",772201300022994,58649.39676,0.9709939176736877
8,RF,3,"(0.98, 0.97)",801206100016039,58652.35528,0.9701179555375917
9,RF,3,"(0.98, 0.97)",386206100018571,59010.40286,0.9709377638580827
10,RF,4,"(0.97, 0.96)",283209300122153,58310.28179,0.9608773269573535
11,RF,4,"(0.97, 0.96)",805211200019572,58476.11343,0.9665092781283837
12,RF,4,"(0.97, 0.96)",685205200118548,58346.19188,0.9612531790543178
13,RF,4,"(0.97, 0.96)",284216300032173,58287.35369,0.9630100504856205
14,RF,4,"(0.97, 0.96)",283209400071228,58312.26886,0.9602666324097813
15,RF,4,"(0.97, 0.96)",489211200128858,58720.21918,0.9616636470469586
16,RF,4,"(0.97, 0.96)",436203400153030,59015.40336,0.9628113453450672
17,RF,4,"(0.97, 0.96)",593209200023562,58673.38138,0.9601906281522423
18,RF,4,"(0.97, 0.96)",831212200071040,58776.2036,0.960835385492378
19,RF,4,"(0.97, 0.96)",688209300078998,58450.08456,0.9627048796998205
20,RF,5,"(0.96, 0.95)",541212400092014,58342.20431,0.9513691382053845
21,RF,5,"(0.96, 0.95)",280215400133319,58661.2369,0.957731469849855
22,RF,5,"(0.96, 0.95)",513208300047978,58483.19546,0.951320622157226
23,RF,5,"(0.96, 0.95)",513205400041684,58483.19546,0.9593050854860123
24,RF,5,"(0.96, 0.95)",433214300049816,59028.40351,0.9582852617760013
25,RF,5,"(0.96, 0.95)",769206200074520,58465.0925,0.9509252640227724
26,RF,5,"(0.96, 0.95)",385215200155065,58293.36262,0.9589721600149717
27,RF,5,"(0.96, 0.95)",727201100040563,58744.2644,0.9512598094446214
28,RF,5,"(0.96, 0.95)",467210400002652,58523.25968,0.9505386937053902
29,RF,5,"(0.96, 0.95)",640215400063347,59004.40103,0.9531739712134649
30,RF,6,"(0.95, 0.94)",280212400066644,58663.23778,0.9426799047401143
31,RF,6,"(0.95, 0.94)",333203200128123,58690.21576,0.9497798924670549
32,RF,6,"(0.95, 0.94)",777214400024180,58833.15239,0.9438533255127399
33,RF,6,"(0.95, 0.94)",541208100087981,58717.18381,0.9456319455129831
34,RF,6,"(0.95, 0.94)",660204400015205,58834.23712,0.9406672041710884
35,RF,6,"(0.95, 0.94)",280201300018085,58661.23698,0.9408072066872799
36,RF,6,"(0.95, 0.94)",385206100132368,58716.19596,0.9419092662671137
37,RF,6,"(0.95, 0.94)",684215100048829,58299.23768,0.9455484757311973
38,RF,6,"(0.95, 0.94)",490212200056441,58727.20143,0.9414370201472813
39,RF,6,"(0.95, 0.94)",281216400167310,58636.34088,0.9422663843910297
40,RF,7,"(0.94, 0.9299999999999999)",334207300148805,58722.1739,0.9336726332214357
41,RF,7,"(0.94, 0.9299999999999999)",385216400101085,58719.17733,0.9382372464672964
42,RF,7,"(0.94, 0.9299999999999999)",488203100094029,58697.2457,0.9304558470222675
43,RF,7,"(0.94, 0.9299999999999999)",330206400134033,58661.24733,0.9318926813900046
44,RF,7,"(0.94, 0.9299999999999999)",279213400117958,58661.24351,0.9304517425622785
45,RF,7,"(0.94, 0.9299999999999999)",486210100094677,58661.24207,0.938709853808033
46,RF,7,"(0.94, 0.9299999999999999)",541216100104591,58717.18365,0.9314531177181609
47,RF,7,"(0.94, 0.9299999999999999)",279213200103250,58667.24282,0.9346402179619113
48,RF,7,"(0.94, 0.9299999999999999)",333205200192088,58697.22361,0.9345098692083765
49,RF,7,"(0.94, 0.9299999999999999)",489211300128375,58719.17294,0.936616089307809
50,RF,8,"(0.9299999999999999, 0.9199999999999999)",334209200003523,58726.17914,0.9248929852253219
51,RF,8,"(0.9299999999999999, 0.9199999999999999)",684202300055752,58299.23548,0.9278498620730582
52,RF,8,"(0.9299999999999999, 0.9199999999999999)",540209200091238,58696.20399,0.9207105531671315
53,RF,8,"(0.9299999999999999, 0.9199999999999999)",280216400119867,58663.23775,0.9233866459196262
54,RF,8,"(0.9299999999999999, 0.9199999999999999)",571205300001381,58503.30902,0.9237317620469603
55,RF,8,"(0.9299999999999999, 0.9199999999999999)",553210100011798,58778.34136,0.9208337408714384
56,RF,8,"(0.9299999999999999, 0.9199999999999999)",383210100102751,58696.20109,0.9292971842697249
57,RF,8,"(0.9299999999999999, 0.9199999999999999)",282312100097760,59053.21829,0.9215116697393132
58,RF,8,"(0.9299999999999999, 0.9199999999999999)",688206400082561,58449.06849,0.9287516760159852
59,RF,8,"(0.9299999999999999, 0.9199999999999999)",485205200032182,58642.31967,0.9217629152162423
