,name_model,n_bin,borders,oid,flare_start,threshold
0,Union,3,"(0.98, 0.97)",685209400055139,58345.19316,0.9796069264411926/0.9722814565689124
1,Union,3,"(0.98, 0.97)",636205300038603,59047.33332,0.975547730922699/0.973095776970646
2,Union,3,"(0.98, 0.97)",331215400039001,58304.23694,0.9750726819038391/0.9712058874760316
3,Union,3,"(0.98, 0.97)",461216300040051,58853.19426,0.977262020111084/0.971220224548307
4,Union,3,"(0.98, 0.97)",464203200001070,58794.43978,0.9708361625671387/0.9700026369349982
5,Union,3,"(0.98, 0.97)",592210400084745,58344.19366,0.9726009368896484/0.974214491527378
6,Union,3,"(0.98, 0.97)",767209200088773,58448.09623,0.9744023084640503/0.9706811587912451
7,Union,3,"(0.98, 0.97)",613209100014050,58836.23765,0.979081392288208/0.9742557594912131
8,Union,3,"(0.98, 0.97)",769214100049574,58465.09281,0.9772555232048035/0.9723659513579592
9,Union,3,"(0.98, 0.97)",769205300027118,59008.39803,0.9730140566825867/0.9721216427247168
10,Union,4,"(0.97, 0.96)",262204200080533,58493.36157,0.9652376174926758/0.9685584698227485
11,Union,4,"(0.97, 0.96)",487212200032140,58644.36135,0.9650182127952576/0.9679717848536665
12,Union,4,"(0.97, 0.96)",686203100165048,58345.1949,0.965785026550293/0.9641698062092465
13,Union,4,"(0.97, 0.96)",568201400006745,58796.43922,0.9618074893951416/0.9629567906577333
14,Union,4,"(0.97, 0.96)",283206200116673,58719.17516,0.9633869528770447/0.962041715920296
15,Union,4,"(0.97, 0.96)",663204100005972,58511.21554,0.9641954302787781/0.9614871864513992
16,Union,4,"(0.97, 0.96)",689215300057231,58449.06859,0.9646469950675964/0.9642768582395016
17,Union,4,"(0.97, 0.96)",384209200019363,58318.27789,0.9600719809532166/0.963613210671474
18,Union,4,"(0.97, 0.96)",541207200003918,58342.20436,0.9604853391647339/0.9698127177691047
19,Union,4,"(0.97, 0.96)",283215100153893,58716.20337,0.9658070802688599/0.9605335079765118
20,Union,5,"(0.96, 0.95)",538209100095523,58670.22603,0.9584084749221802/0.9545191775216346
21,Union,5,"(0.96, 0.95)",748202300022853,58505.261,0.953716516494751/0.9548326688959652
22,Union,5,"(0.96, 0.95)",640203400032668,59004.40135,0.9528184533119202/0.9532724967095725
23,Union,5,"(0.96, 0.95)",279205400044458,58661.24352,0.9553290605545044/0.9566009733419407
24,Union,5,"(0.96, 0.95)",434212300004599,58663.23948,0.9550551772117615/0.9501343075038763
25,Union,5,"(0.96, 0.95)",655203400004767,58805.25654,0.9534521102905273/0.9518152703595676
26,Union,5,"(0.96, 0.95)",538215400061166,58673.24509,0.9589490294456482/0.9504182173139283
27,Union,5,"(0.96, 0.95)",749206100015142,58505.26134,0.9570192694664001/0.9542395523573555
28,Union,5,"(0.96, 0.95)",281208300150946,58697.24051,0.9555490016937256/0.9543612371864851
29,Union,5,"(0.96, 0.95)",335205400010032,58674.36741,0.9598166942596436/0.9537903840749606
30,Union,6,"(0.95, 0.94)",333213300172064,58688.22284,0.9432795643806458/0.9449976055127481
31,Union,6,"(0.95, 0.94)",538201200146300,58670.22577,0.9464848041534424/0.940088581489982
32,Union,6,"(0.95, 0.94)",804206100062788,58480.20779,0.9485276937484741/0.9420145105195359
33,Union,6,"(0.95, 0.94)",283210100076233,58718.19652,0.9412292838096619/0.9464162638483671
34,Union,6,"(0.95, 0.94)",283210200147522,58716.20297,0.9431495666503906/0.942910938447406
35,Union,6,"(0.95, 0.94)",330208400035415,58661.24721,0.9477458000183105/0.9417787232694844
36,Union,6,"(0.95, 0.94)",728206100086555,58437.07112,0.9445353150367737/0.9490851019299746
37,Union,6,"(0.95, 0.94)",334211100102208,58719.17918,0.9428837895393372/0.9425908241088087
38,Union,6,"(0.95, 0.94)",538206200074329,58670.22562,0.9404066801071167/0.9434240540319672
39,Union,6,"(0.95, 0.94)",331214200035220,58305.23709,0.9405379295349121/0.9466921047654157
40,Union,7,"(0.94, 0.9299999999999999)",485206300036909,58670.22116,0.9368632435798645/0.9315931328230779
41,Union,7,"(0.94, 0.9299999999999999)",279202100076643,58658.26028,0.9351209402084351/0.9307395012923521
42,Union,7,"(0.94, 0.9299999999999999)",382204100057769,58672.23929,0.9303632378578186/0.9389549915805655
43,Union,7,"(0.94, 0.9299999999999999)",806210200066458,58481.23444,0.9346392750740051/0.9357071259713362
44,Union,7,"(0.94, 0.9299999999999999)",279201300103343,58663.24734,0.9316889047622681/0.9311399234466058
45,Union,7,"(0.94, 0.9299999999999999)",385208300184027,58726.17325,0.9328147172927856/0.9306762507120894
46,Union,7,"(0.94, 0.9299999999999999)",334205200135870,58319.2886,0.9398779273033142/0.9378649610251046
47,Union,7,"(0.94, 0.9299999999999999)",280212300059502,58663.23774,0.9330612421035767/0.9349509340851091
48,Union,7,"(0.94, 0.9299999999999999)",661213300008401,58834.23905,0.9345882534980774/0.9305017260286539
49,Union,7,"(0.94, 0.9299999999999999)",538206400106151,58670.2257,0.9374706149101257/0.9381476069735251
50,Union,8,"(0.9299999999999999, 0.9199999999999999)",538213200100286,58670.22587,0.9222154021263123/0.9225978301353053
51,Union,8,"(0.9299999999999999, 0.9199999999999999)",334206400134592,58718.203,0.9242551326751709/0.9282689258120977
52,Union,8,"(0.9299999999999999, 0.9199999999999999)",279206100081518,58668.21749,0.9253911375999451/0.9264065431877636
53,Union,8,"(0.9299999999999999, 0.9199999999999999)",259203200021671,58462.36433,0.9234223961830139/0.9254394360005395
54,Union,8,"(0.9299999999999999, 0.9199999999999999)",385204400044275,58722.17647,0.9201645255088806/0.9211159308221025
55,Union,8,"(0.9299999999999999, 0.9199999999999999)",334208100105132,58726.17876,0.9282832741737366/0.9256295473872348
56,Union,8,"(0.9299999999999999, 0.9199999999999999)",516204200034764,58506.27004,0.9278013110160828/0.9218034432670243
57,Union,8,"(0.9299999999999999, 0.9199999999999999)",280209200141621,58670.22519,0.9288443326950073/0.927312959551308
58,Union,8,"(0.9299999999999999, 0.9199999999999999)",260206100079068,58493.2891,0.9281876087188721/0.9240432015754605
59,Union,8,"(0.9299999999999999, 0.9199999999999999)",729215100074801,58437.07118,0.9256498217582703/0.9282632162668601
60,Union,9,"(0.9199999999999999, 0.9099999999999999)",538205300073018,58662.26455,0.9127728343009949/0.9109756610243791
61,Union,9,"(0.9199999999999999, 0.9099999999999999)",280207200157299,58663.23781,0.9172343611717224/0.9142728244336474
62,Union,9,"(0.9199999999999999, 0.9099999999999999)",488206200109035,58697.24522,0.9114665985107422/0.9119609831647513
63,Union,9,"(0.9199999999999999, 0.9099999999999999)",541203300095421,58720.1945,0.9189999103546143/0.9108542883432051
64,Union,9,"(0.9199999999999999, 0.9099999999999999)",686211200079699,58346.28431,0.9153537154197693/0.9195796961287277
65,Union,9,"(0.9199999999999999, 0.9099999999999999)",279213400112510,58669.21956,0.9127703905105591/0.9152885638450262
66,Union,9,"(0.9199999999999999, 0.9099999999999999)",640212200132439,59004.40126,0.9123448729515076/0.9153636744425748
67,Union,9,"(0.9199999999999999, 0.9099999999999999)",284207300032800,58719.17643,0.9123602509498596/0.915217560418624
68,Union,9,"(0.9199999999999999, 0.9099999999999999)",434207100091769,58672.24306,0.9167407751083374/0.917001562838816
69,Union,9,"(0.9199999999999999, 0.9099999999999999)",436210200137869,58692.24734,0.9175151586532593/0.9133435013674681
70,Union,10,"(0.9099999999999999, 0.8999999999999999)",490216400075845,58716.20282,0.9047175645828247/0.9092590671649228
71,Union,10,"(0.9099999999999999, 0.8999999999999999)",385207100102789,58722.17705,0.9076112508773804/0.9023887383288108
72,Union,10,"(0.9099999999999999, 0.8999999999999999)",385210100091909,58722.17674,0.901009738445282/0.9070936731834458
73,Union,10,"(0.9099999999999999, 0.8999999999999999)",280207100151564,58663.23784,0.900540828704834/0.9097241273987884
74,Union,10,"(0.9099999999999999, 0.8999999999999999)",436204100090648,58347.2709,0.9084656238555908/0.907379607206183
75,Union,10,"(0.9099999999999999, 0.8999999999999999)",283206300073662,58717.17949,0.9052663445472717/0.9014927746536745
76,Union,10,"(0.9099999999999999, 0.8999999999999999)",537205300047057,58670.217,0.9077701568603516/0.9051532395221651
77,Union,10,"(0.9099999999999999, 0.8999999999999999)",283214100115407,58727.20215,0.9032779932022095/0.9096412610925887
78,Union,10,"(0.9099999999999999, 0.8999999999999999)",487212300005141,58697.22446,0.9048733115196228/0.9013611355254674
79,Union,10,"(0.9099999999999999, 0.8999999999999999)",334204100169840,58719.17905,0.9059945344924927/0.9077149585198212
