,oid,fl_start,time_maximum,postfilter_prob,tag,link,link2,ra,dec,r-i,flag
0,592208400030991,58343.19487,58343.22821,0.9999990557727366,flare (found in the previous paper),https://ztf.snad.space/dr17/view/592208400030991?min_mjd=58343.19487&max_mjd=58343.528210000004,https://ztf.snad.space/dr17/view/592208400030991?min_mjd=58343.19487&max_mjd=58343.528210000004,300.7592468261719,17.50552749633789,2.6661503301002085,True
3,802207300045060,58651.35593,58651.39837,0.9999852359778332,flare,https://ztf.snad.space/dr17/view/802207300045060?min_mjd=58651.35593&max_mjd=58651.698370000006,https://ztf.snad.space/dr17/view/802207300045060?min_mjd=58651.35593&max_mjd=58651.698370000006,321.7497253417969,53.70562744140625,2.3883358830353245,True
4,386213300029150,58722.183,58722.21504,0.9999810535758928,flare,https://ztf.snad.space/dr17/view/386213300029150?min_mjd=58722.183&max_mjd=58722.515040000006,https://ztf.snad.space/dr17/view/386213300029150?min_mjd=58722.183&max_mjd=58722.515040000006,297.2371520996094,-7.650319099426269,2.3620240022428334,True
5,742216100008486,58806.40311,58806.43112,0.9999800768639284,flare,https://ztf.snad.space/dr17/view/742216100008486?min_mjd=58806.40311&max_mjd=58806.731120000004,https://ztf.snad.space/dr17/view/742216100008486?min_mjd=58806.40311&max_mjd=58806.731120000004,59.16182327270508,51.00835037231445,2.3291498799808323,True
6,335210300013546,58674.36741,58674.37463,0.9999940514052752,flare,https://ztf.snad.space/dr17/view/335210300013546?min_mjd=58674.36741&max_mjd=58674.67463,https://ztf.snad.space/dr17/view/335210300013546?min_mjd=58674.36741&max_mjd=58674.67463,291.0089111328125,-16.347856521606445,2.277132496703416,True
7,257208300005695,58468.30895,58468.3496,0.9999644419345284,flare,https://ztf.snad.space/dr17/view/257208300005695?min_mjd=58468.30895&max_mjd=58468.649600000004,https://ztf.snad.space/dr17/view/257208300005695?min_mjd=58468.30895&max_mjd=58468.649600000004,86.61077880859375,-25.468456268310547,2.276040790602565,True
8,257205200008046,58468.30849,58468.36102,0.9999652012694652,flare,https://ztf.snad.space/dr17/view/257205200008046?min_mjd=58468.30849&max_mjd=58468.66102,https://ztf.snad.space/dr17/view/257205200008046?min_mjd=58468.30849&max_mjd=58468.66102,92.52207946777344,-24.64760398864746,2.252017860941123,True
10,637209300050479,58657.27606,58657.2851,0.9999953454704208,flare,https://ztf.snad.space/dr17/view/637209300050479?min_mjd=58657.27606&max_mjd=58657.585100000004,https://ztf.snad.space/dr17/view/637209300050479?min_mjd=58657.27606&max_mjd=58657.585100000004,280.72674560546875,26.671951293945312,2.2320092022418976,True
11,382209200087696,58639.33964,58639.36089,0.9999441104182152,flare,https://ztf.snad.space/dr17/view/382209200087696?min_mjd=58639.33964&max_mjd=58639.66089000001,https://ztf.snad.space/dr17/view/382209200087696?min_mjd=58639.33964&max_mjd=58639.66089000001,268.87646484375,-8.40299129486084,2.228573967702687,True
12,777208300013721,58836.1527,58836.16082,0.9999299237544362,flare,https://ztf.snad.space/dr17/view/777208300013721?min_mjd=58836.1527&max_mjd=58836.46082,https://ztf.snad.space/dr17/view/777208300013721?min_mjd=58836.1527&max_mjd=58836.46082,43.62471008300781,53.36198806762695,2.203668382018805,True
13,382210400016451,58667.23602,58667.24782,0.9998829190591916,flare,https://ztf.snad.space/dr17/view/382210400016451?min_mjd=58667.23602&max_mjd=58667.54782,https://ztf.snad.space/dr17/view/382210400016451?min_mjd=58667.23602&max_mjd=58667.54782,267.4534606933594,-9.143415451049805,2.2033903824631125,True
16,638216300007158,58338.21274,58338.29603,0.999871013474336,flare,https://ztf.snad.space/dr17/view/638216300007158?min_mjd=58338.21274&max_mjd=58338.59603,https://ztf.snad.space/dr17/view/638216300007158?min_mjd=58338.21274&max_mjd=58338.59603,282.4276428222656,28.69008445739746,2.176705073157791,True
18,384211200100490,58316.28845,58316.31585,0.9999977195593508,flare + part of light curve is artefact,https://ztf.snad.space/dr17/view/384211200100490?min_mjd=58316.28845&max_mjd=58316.61585,https://ztf.snad.space/dr17/view/384211200100490?min_mjd=58316.28845&max_mjd=58316.61585,279.6655578613281,-8.791047096252441,2.148393593495712,True
19,636201200031136,59031.38011,59031.39416,0.999893509378176,flare,https://ztf.snad.space/dr17/view/636201200031136?min_mjd=59031.38011&max_mjd=59031.69416000001,https://ztf.snad.space/dr17/view/636201200031136?min_mjd=59031.38011&max_mjd=59031.69416000001,273.3053894042969,23.365005493164062,2.142699796706438,True
20,707214400019358,58511.259,58511.30006,0.9998402082575172,flare,https://ztf.snad.space/dr17/view/707214400019358?min_mjd=58511.259&max_mjd=58511.600060000004,https://ztf.snad.space/dr17/view/707214400019358?min_mjd=58511.259&max_mjd=58511.600060000004,116.12678527832033,43.26910018920898,2.130442619556561,True
